,Listing #,host_is_superhost,accommodates,bedrooms,bathrooms_number,beds,num_amenities,number_of_reviews,instant_bookable,neighbourhood_group_Bronx,neighbourhood_group_Brooklyn,neighbourhood_group_Manhattan,neighbourhood_group_Queens,room_type_Entire home/apt,room_type_Hotel room,room_type_Private room,income,price,log_price
0,2595,0,2,0.0,1.0,1.0,31,48,0,0,0,1,0,1,0,0,50985,150.0,5.0106352940962555
1,3831,0,3,1.0,1.0,3.0,35,396,0,0,1,0,0,1,0,0,31406,76.0,4.330733340286331
2,5121,0,2,1.0,1.0,1.0,5,50,0,0,1,0,0,0,0,1,31406,60.0,4.0943445622221
3,5136,0,4,2.0,1.5,2.0,11,1,0,0,1,0,0,1,0,0,31406,175.0,5.1647859739235145
4,5178,0,2,1.0,1.0,1.0,18,474,0,0,0,1,0,0,0,1,50985,79.0,4.3694478524670215
5,5203,0,1,1.0,1.0,1.0,16,118,0,0,0,1,0,0,0,1,50985,75.0,4.31748811353631
6,5803,1,2,1.0,1.5,0.0,51,182,0,0,1,0,0,0,0,1,31406,92.0,4.5217885770490405
7,6848,0,3,0.0,1.0,1.0,28,181,0,0,1,0,0,1,0,0,31406,109.0,4.6913478822291435
8,6872,0,1,1.0,1.0,1.0,19,0,0,0,0,1,0,0,0,1,50985,65.0,4.174387269895637
9,6990,0,1,1.0,1.0,1.0,18,233,1,0,0,1,0,0,0,1,50985,62.0,4.127134385045092
10,7097,1,4,1.0,1.0,2.0,35,244,1,0,1,0,0,1,0,0,31406,196.0,5.278114659230517
11,7750,0,1,2.0,1.0,2.0,8,0,0,0,0,1,0,0,0,1,50985,96.0,4.564348191467836
12,7801,1,4,0.0,1.0,2.0,10,9,0,0,1,0,0,1,0,0,31406,299.0,5.700443573390687
13,8490,1,5,1.0,1.0,4.0,28,125,0,0,1,0,0,1,0,0,31406,120.0,4.787491742782046
14,9357,0,2,0.0,1.0,1.0,17,58,0,0,0,1,0,1,0,0,50985,150.0,5.0106352940962555
15,9657,1,3,1.0,1.0,1.0,35,36,0,0,0,1,0,1,0,0,50985,175.0,5.1647859739235145
16,9704,0,2,1.0,1.0,1.0,11,98,0,0,0,1,0,0,0,1,50985,55.0,4.007333185232471
17,10452,0,3,1.0,1.0,2.0,27,76,0,0,1,0,0,0,0,1,31406,70.0,4.248495242049359
18,10962,1,2,1.0,1.0,0.0,27,181,0,0,1,0,0,0,0,1,31406,92.0,4.5217885770490405
19,11943,0,1,1.0,1.0,2.0,8,0,0,0,1,0,0,0,0,1,31406,150.0,5.0106352940962555
20,12192,0,2,1.0,1.0,1.0,27,265,0,0,0,1,0,0,0,1,50985,40.0,3.6888794541139363
21,12343,0,3,1.0,1.0,1.0,9,107,1,0,0,1,0,1,0,0,50985,250.0,5.521460917862246
22,12937,0,4,1.0,1.0,2.0,23,282,0,0,0,0,1,0,0,1,31992,130.0,4.867534450455582
23,12940,0,2,1.0,1.0,1.0,21,69,0,0,1,0,0,1,0,0,31406,99.0,4.59511985013459
24,13121,0,4,1.0,1.0,2.0,15,65,0,0,0,0,1,0,0,1,31992,75.0,4.31748811353631
25,13394,1,2,1.0,1.0,1.0,17,143,0,0,1,0,0,0,0,1,31406,80.0,4.382026634673881
26,13808,0,2,1.0,1.0,1.0,32,141,0,0,1,0,0,0,0,1,31406,81.0,4.394449154672439
27,14290,0,2,2.0,1.0,0.0,24,106,0,0,1,0,0,1,0,0,31406,198.0,5.288267030694535
28,14314,0,2,1.0,1.0,2.0,35,179,0,0,1,0,0,1,0,0,31406,99.0,4.59511985013459
29,14322,0,1,1.0,1.0,1.0,28,20,0,0,0,1,0,1,0,0,50985,200.0,5.298317366548036
30,15341,1,3,1.0,1.0,2.0,38,26,0,0,0,1,0,1,0,0,50985,170.0,5.135798437050262
31,15385,1,1,1.0,1.0,1.0,17,49,0,0,1,0,0,0,0,1,31406,80.0,4.382026634673881
32,15396,0,4,2.0,2.0,2.0,37,5,0,0,0,1,0,1,0,0,50985,375.0,5.926926025970411
33,15711,0,6,2.0,1.0,4.0,42,84,0,0,0,1,0,1,0,0,50985,206.0,5.327876168789581
34,16326,1,8,4.0,2.0,4.0,39,152,0,0,1,0,0,1,0,0,31406,140.0,4.941642422609304
35,16338,0,2,1.0,1.0,2.0,25,29,0,0,1,0,0,0,0,1,31406,55.0,4.007333185232471
36,16580,1,2,1.0,1.0,1.0,37,426,0,0,0,1,0,0,0,1,50985,62.0,4.127134385045092
37,16595,0,2,1.0,1.0,1.0,44,192,0,0,1,0,0,1,0,0,31406,314.0,5.749392985908253
38,16821,0,1,1.0,1.0,1.0,25,120,0,0,0,1,0,0,0,1,50985,74.0,4.30406509320417
39,16974,1,8,4.0,2.0,6.0,26,218,0,0,0,1,0,1,0,0,50985,250.0,5.521460917862246
40,17037,0,2,1.0,1.0,1.0,26,53,0,0,0,1,0,1,0,0,50985,250.0,5.521460917862246
41,17083,0,4,2.0,1.0,2.0,19,8,0,0,0,1,0,1,0,0,50985,190.0,5.247024072160486
42,17693,0,2,1.0,1.0,1.0,27,60,1,0,0,1,0,0,0,1,50985,65.0,4.174387269895637
43,17747,1,2,1.0,1.0,1.0,39,128,0,0,1,0,0,0,0,1,31406,95.0,4.553876891600541
44,18127,0,2,1.0,1.0,1.0,26,21,0,0,0,1,0,1,0,0,50985,176.0,5.170483995038151
45,18195,0,2,1.0,1.0,1.0,20,23,0,0,0,0,1,0,0,1,31992,70.0,4.248495242049359
46,18198,0,1,1.0,1.0,0.0,11,29,0,0,0,0,1,0,0,1,31992,55.0,4.007333185232471
47,18728,1,3,1.0,1.5,1.0,19,184,1,0,0,1,0,0,0,1,50985,150.0,5.0106352940962555
48,18764,0,4,2.0,1.0,2.0,28,63,1,0,1,0,0,0,0,1,31406,145.0,4.976733742420574
49,18961,0,2,1.0,1.0,1.0,13,1,0,0,0,1,0,0,0,1,50985,95.0,4.553876891600541
50,19159,1,3,2.0,1.0,2.0,33,58,0,0,0,1,0,1,0,0,50985,110.0,4.700480365792417
51,19282,0,4,1.0,2.0,2.0,34,17,0,0,1,0,0,0,0,1,31406,110.0,4.700480365792417
52,19812,0,2,1.0,1.0,1.0,13,61,0,0,1,0,0,1,0,0,31406,105.0,4.653960350157523
53,20611,0,2,1.0,1.0,1.0,25,193,1,0,1,0,0,0,0,1,31406,85.0,4.442651256490317
54,20717,1,2,1.0,1.5,1.0,11,47,0,0,1,0,0,0,0,1,31406,85.0,4.442651256490317
55,20724,0,2,1.0,1.5,0.0,9,31,0,0,1,0,0,0,0,1,31406,50.0,3.912023005428146
56,20755,0,3,1.0,1.0,2.0,11,19,1,0,1,0,0,0,0,1,31406,98.0,4.584967478670572
57,20913,0,2,1.0,1.0,1.0,9,168,0,0,1,0,0,1,0,0,31406,80.0,4.382026634673881
58,21456,0,2,1.0,1.0,0.0,12,83,0,0,0,1,0,1,0,0,50985,85.0,4.442651256490317
